Abraham, F. Murray
Adams, Amy
Adjani, Isabelle
Affleck, Ben
Affleck, Casey
Aghdashloo, Shohreh
Aiello, Danny
Alba, Jessica
Albertson, Jack
Alda, Alan
Alexander, Jane
Ali, Mahershala
Allen, Joan
Allen, Tim
Allen, Woody
Ameche, Don
Anderson, Gillian
Andrews, Julie
Aniston, Jennifer
Applegate, Christina
Arkin, Alan
Arquette, Patricia
Arterton, Gemma
Arthur, Jean
Ashcroft, Peggy
Astaire, Fred
Astin, Sean
Astor, Mary
Aykroyd, Dan
Bacall, Lauren
Bacon, Kevin
Baldwin, Alec
Bale, Christian
Balk, Fairuza
Ball, Lucille
Balsam, Martin
Bana, Eric
Bancroft, Anne
Banderas, Antonio
Banks, Elizabeth
Bardem, Javier
Barraza, Adriana
Barrymore, Drew
Barrymore, Ethel
Barrymore, Lionel
Bartha, Justin
Baruchel, Jay
Basinger, Kim
Bassett, Angela
Bateman, Jason
Bates, Kathy
Baxter, Anne
Baxter, Warner
Bean, Sean
Beatty, Ned
Beatty, Warren
Beckinsale, Kate
Beery, Wallace
Begley, Ed
Bejo, Bérénice
Bell, Jamie
Bell, Kristen
Bell, Lake
Bello, Maria
Belmondo, Jean-Paul
Benigni, Roberto
Bening, Annette
Bergman, Ingrid
Bernal, Gael García
Berry, Halle
Bettany, Paul
Beyoncé
Biel, Jessica
Binoche, Juliette
Birch, Thora
Björk
Black, Jack
Blanchett, Cate
Blethyn, Brenda
Bloom, Orlando
Blunt, Emily
Bogart, Humphrey
Booth, Shirley
Borgnine, Ernest
Bosworth, Kate
Branagh, Kenneth
Brand, Russell
Brando, Marlon
Bratt, Benjamin
Brennan, Walter
Breslin, Abigail
Bridges, Jeff
Broadbent, Jim
Broderick, Matthew
Brody, Adrien
Brolin, Josh
Brooks, Albert
Brosnan, Pierce
Browning, Emily
Brynner, Yul
Brühl, Daniel
Bullock, Sandra
Burke, Billy
Burnett, Carol
Burns, George
Burstyn, Ellen
Burton, Richard
Buscemi, Steve
Busey, Gary
Butler, Gerard
Buttons, Red
Bynes, Amanda
Byrne, Rose
Caan, James
Cage, Nicolas
Cagney, James
Caine, Michael
Campbell, Neve
Campbell, Neve
Capshaw, Kate
Cardinale, Claudia
Carell, Steve
Carney, Art
Carrey, Jim
Carter, Helena Bonham
Cassel, Vincent
Castle-Hughes, Keisha
Caviezel, Jim
Cavill, Henry
Cera, Michael
Chakiris, George
Chan, Jackie
Channing, Stockard
Chaplin, Charles
Chastain, Jessica
Cheadle, Don
Cher
Choi, Min-sik
Chopra, Priyanka
Chow, Yun-Fat
Christensen, Hayden
Christie, Julie
Chung, Jamie
Church, Thomas Haden
Clarke, Emilia
Clarkson, Patricia
Clayburgh, Jill
Cleese, John
Clift, Montgomery
Clooney, George
Close, Glenn
Coburn, Charles
Coburn, James
Cohen, Sacha Baron
Colbert, Claudette
Collette, Toni
Collins, Lily
Collins, Pauline
Colman, Ronald
Connelly, Jennifer
Connery, Sean
Considine, Paddy
Conti, Tom
Coogan, Steve
Coolidge, Jennifer
Cooper, Bradley
Cooper, Chris
Cooper, Gary
Cornish, Abbie
Costner, Kevin
Cotillard, Marion
Cotten, Joseph
Courtenay, Tom
Courtney, Jai
Cox, Brian
Cox, Courteney
Craig, Daniel
Cranston, Bryan
Crawford, Broderick
Crawford, Joan
Crew, Amanda
Crisp, Donald
Cromwell, James
Crosby, Bing
Crowe, Russell
Crudup, Billy
Cruise, Tom
Cruz, Penélope
Crystal, Billy
Cube, Ice
Culkin, Macaulay
Cumberbatch, Benedict
Cuoco, Kaley
Curtis, Jamie Lee
Cusack, John
Cyrus, Miley
Daddario, Alexandra
Dafoe, Willem
Damon, Matt
Danes, Claire
Daniels, Jeff
Dano, Paul
Darwell, Jane
Davenport, Jack
Davies, Marion
Davis, Bette
Davis, Geena
Davis, Judy
Davis, Viola
Davison, Bruce
Dawson, Rosario
Day, Charlie
Day, Doris
Day-Lewis, Daniel
De Niro, Robert
DeGeneres, Ellen
DeVito, Danny
Dean, James
Dee, Ruby
Del Toro, Benicio
Delpy, Julie
Dench, Judi
Deneuve, Catherine
Dennings, Kat
Dennis, Sandy
Depardieu, Gérard
Depp, Johnny
Dern, Bruce
Dern, Laura
Deschanel, Zooey
DiCaprio, Leonardo
Diaz, Cameron
Diesel, Vin
Dietrich, Marlene
Dillon, Matt
Dinklage, Peter
Donat, Robert
Dormer, Natalie
Douglas, Kirk
Douglas, Melvyn
Douglas, Michael
Downey Jr., Robert
Dressler, Marie
Dreyfuss, Richard
Driver, Minnie
Duff, Hilary
Duhamel, Josh
Dujardin, Jean
Dukakis, Olympia
Duke, Patty
Dunaway, Faye
Duncan, Michael Clarke
Dunst, Kirsten
Duris, Romain
Dushku, Eliza
Duvall, Robert
Ealy, Michael
Eastwood, Clint
Eckhart, Aaron
Efron, Zac
Eisenberg, Jesse
Ejiofor, Chiwetel
Elba, Idris
Elliott, Sam
Elwes, Cary
Enos, Mireille
Entertainer, Cedric the
Evans, Chris
Eve, Alice
Falconetti, Maria
Fanning, Dakota
Faris, Anna
Farmiga, Vera
Farnsworth, Richard
Farrell, Colin
Farrow, Mia
Fassbender, Michael
Favreau, Jon
Ferrell, Will
Ferrer, José
Fey, Tina
Field, Sally
Fiennes, Ralph
Finch, Peter
Finney, Albert
Fiorentino, Linda
Firth, Colin
Fishburne, Laurence
Fisher, Carrie
Fisher, Isla
Fitzgerald, Barry
Fletcher, Louise
Flynn, Errol
Fonda, Henry
Fonda, Jane
Fonda, Peter
Fontaine, Joan
Ford, Harrison
Forster, Robert
Foster, Ben
Foster, Jodie
Fox, Megan
Fox, Michael J.
Foxx, Jamie
Franco, Dave
Franco, James
Fraser, Brendan
Freeman, Morgan
Fricker, Brenda
Friel, Anna
Frost, Nick
Gable, Clark
Gad, Josh
Gadot, Gal
Galifianakis, Zach
Gallo, Vincent
Gandolfini, James
Ganz, Bruno
Garbo, Greta
Garcia, Andy
Gardner, Ava
Garfield, Andrew
Garland, Judy
Garner, James
Garner, Jennifer
Garr, Teri
Garson, Greer
Gaynor, Janet
Gellar, Sarah Michelle
Gere, Richard
Gerwig, Greta
Giamatti, Paul
Gibson, Mel
Gibson, Tyrese
Gielgud, John
Gigandet, Cam
Gish, Lillian
Gleeson, Brendan
Glover, Danny
Goldberg, Whoopi
Goldblum, Jeff
Gomez, Selena
Gooding Jr., Cuba
Goodman, John
Goodwin, Ginnifer
Gordon, Ruth
Gordon-Levitt, Joseph
Gosling, Ryan
Gossett Jr., Louis
Grace, Maggie
Grace, Topher
Grahame, Gloria
Grant, Cary
Grant, Hugh
Grant, Lee
Grant, Richard E.
Green, Eva
Green, Seth
Greene, Ashley
Greene, Graham
Gregg, Clark
Grier, Pam
Griffith, Hugh
Griffith, Melanie
Griffiths, Rachel
Gruffudd, Ioan
Guest, Christopher
Guinness, Alec
Gwenn, Edmund
Gyllenhaal, Jake
Gyllenhaal, Maggie
Hackman, Gene
Hader, Bill
Haley, Jackie Earle
Hall, Michael C.
Hall, Rebecca
Hamill, Mark
Hamilton, Linda
Hamm, Jon
Hanks, Tom
Hannah, Daryl
Hara, Setsuko
Harden, Marcia Gay
Hardy, Tom
Harlow, Jean
Harrelson, Woody
Harris, Ed
Harris, Jared
Harris, Neil Patrick
Harris, Richard
Harrison, Rex
Hart, Kevin
Hartnett, Josh
Hathaway, Anne
Hauer, Rutger
Hawke, Ethan
Hawkes, John
Hawkins, Sally
Hawn, Goldie
Hawthorne, Nigel
Hayek, Salma
Hayes, Helen
Hayward, Susan
Hayworth, Rita
Headey, Lena
Heard, Amber
Heckart, Eileen
Heder, Jon
Hedlund, Garrett
Heflin, Van
Heigl, Katherine
Helms, Ed
Hemsworth, Chris
Hemsworth, Liam
Henriksen, Lance
Henson, Taraji P.
Hepburn, Audrey
Hepburn, Katharine
Heston, Charlton
Hewitt, Jennifer Love
Hiddleston, Tom
Highmore, Freddie
Hill, Jonah
Hiller, Wendy
Hoffman, Dustin
Hoffman, Philip Seymour
Holbrook, Hal
Holden, William
Holliday, Judy
Holm, Celeste
Holm, Ian
Holmes, Katie
Hopkins, Anthony
Hopper, Dennis
Hoskins, Bob
Hough, Julianne
Hoult, Nicholas
Hounsou, Djimon
Houseman, John
Houston, Whitney
Howard, Terrence
Hudgens, Vanessa
Hudson, Jennifer
Hudson, Kate
Huffman, Felicity
Hulce, Tom
Hunnam, Charlie
Hunt, Bonnie
Hunt, Helen
Hunt, Linda
Hunter, Holly
Hunter, Kim
Huntington-Whiteley, Rosie
Huppert, Isabelle
Hurt, John
Hurt, William
Huston, Anjelica
Huston, Walter
Hutcherson, Josh
Hutton, Timothy
Ifans, Rhys
Irons, Jeremy
Isaac, Oscar
Ives, Burl
Jackman, Hugh
Jackson, Glenda
Jackson, Samuel L.
Jagger, Dean
James, Kevin
Jannings, Emil
Janssen, Famke
Jenkins, Richard
Johansson, Scarlett
Johnson, Ben
Johnson, Dakota
Johnson, Dwayne
Jolie, Angelina
Jones, Felicity
Jones, January
Jones, Jennifer
Jones, Rashida
Jones, Shirley
Jones, Tommy Lee
Jordan, Michael B.
Jovovich, Milla
Judd, Ashley
Kaling, Mindy
Karloff, Boris
Keaton, Buster
Keaton, Diane
Keaton, Michael
Keener, Catherine
Keitel, Harvey
Kelly, Gene
Kelly, Grace
Kendrick, Anna
Kennedy, George
Kerr, Deborah
Khan, Irrfan
Khan, Shah Rukh
Kidman, Nicole
Kikuchi, Rinko
Kilmer, Val
King, Joey
Kingsley, Ben
Kinnear, Greg
Kinski, Klaus
Kinski, Nastassja
Kirkland, Sally
Kitsch, Taylor
Klein, Chris
Kline, Kevin
Knightley, Keira
Knoxville, Johnny
Krasinski, John
Kravitz, Lenny
Kudrow, Lisa
Kunis, Mila
Kurylenko, Olga
Kutcher, Ashton
LaBeouf, Shia
Lancaster, Burt
Landau, Martin
Lane, Diane
Lane, Nathan
Lange, Jessica
Langella, Frank
Lansbury, Angela
Larson, Brie
Larter, Ali
Latifah, Queen
Laughton, Charles
Laurent, Mélanie
Laurie, Hugh
Laurie, Piper
Law, Jude
Lawrence, Jennifer
Lawrence, Martin
Leachman, Cloris
Ledger, Heath
Lee, Bruce
Lee, Christopher
Leguizamo, John
Leigh, Janet
Leigh, Jennifer Jason
Leigh, Vivien
Lemmon, Jack
Leo, Melissa
Leoni, Téa
Lerman, Logan
Lerner, Michael
Leto, Jared
Lewis, Jerry
Lewis, Juliette
Li, Jet
Lilly, Evangeline
Lincoln, Andrew
Linney, Laura
Liotta, Ray
Liu, Lucy
Lively, Blake
Lloyd, Christopher
Lohan, Lindsay
Lombard, Carole
Long, Justin
Long, Nia
Lopez, Jennifer
Loren, Sophia
Lorre, Peter
Louis-Dreyfus, Julia
Lowe, Rob
Loy, Myrna
Lucas, Jessica
Lucas, Josh
Lukas, Paul
Lupino, Ida
Lutz, Kellan
Lyon, Sue
Mac, Bernie
MacFarlane, Seth
MacLaine, Shirley
Mackie, Anthony
Macy, William H.
Madsen, Virginia
Magnani, Anna
Maguire, Tobey
Malkovich, John
Malone, Dorothy
Malone, Jena
Mann, Leslie
Manville, Lesley
Mara, Kate
Mara, Rooney
Marceau, Sophie
March, Fredric
Marsden, James
Martin, Steve
Marvin, Lee
Marx, Groucho
Marx, Harpo
Mason, James
Mason, Marsha
Mastroianni, Marcello
Matlin, Marlee
Matthau, Walter
McAdams, Rachel
McAvoy, James
McBride, Danny
McCambridge, Mercedes
McCarthy, Melissa
McConaughey, Matthew
McCrea, Joel
McDaniel, Hattie
McDonnell, Mary
McDormand, Frances
McDowell, Malcolm
McGregor, Ewan
McKellen, Ian
McLaglen, Victor
McQueen, Steve
McTeer, Janet
Meester, Leighton
Mendes, Eva
Meyer, Breckin
Meyers, Jonathan Rhys
Midler, Bette
Mifune, Toshirô
Mikkelsen, Mads
Milland, Ray
Mills, John
Minnelli, Liza
Mintz-Plasse, Christopher
Miranda, Carmen
Mirren, Helen
Mitchell, Thomas
Mitchum, Robert
Molina, Alfred
Monaghan, Michelle
Mo'Nique
Monroe, Marilyn
Montenegro, Fernanda
Moore, Demi
Moore, Dudley
Moore, Julianne
Moore, Mandy
Moore, Mary Tyler
Moreau, Jeanne
Moreno, Catalina Sandino
Moreno, Rita
Moretz, Chloë Grace
Mortensen, Viggo
Morton, Samantha
Moss, Carrie-Anne
Moss, Elisabeth
Mueller-Stahl, Armin
Mulligan, Carey
Muni, Paul
Murphy, Cillian
Murphy, Eddie
Murray, Bill
Myers, Mike
Neal, Patricia
Neeson, Liam
Nelson, Craig T.
Newman, Paul
Newton, Thandie
Newton-John, Olivia
Ngor, Haing S.
Nicholson, Jack
Nielsen, Leslie
Niven, David
Nolte, Nick
Norris, Chuck
Norton, Edward
Novak, Kim
Nyong'o, Lupita
